deal_count,location,price,shop,title
200+人付款,北京,7599.00,戴尔官方旗舰店,【24期免息】DELL/戴尔 灵越16 Plus 12代英特尔酷睿i7创作设计师本游戏本手提轻薄本学生7620
800+人付款,广东 深圳,5699.00,荣耀官方旗舰店,HONOR/荣耀MagicBook 14 2022版 新款14英寸 搭载英特尔12代酷睿i5/i7处理器 商务办公 全面屏
600+人付款,北京,5099.00,戴尔官方旗舰店,【菜鸟发货】戴尔/DELL 灵越13 Pro 13.3英寸可选英特尔Evo i5/i7轻薄本手提学生办公5310高清便携
100+人付款,江苏 南京,5799.00,苏宁易购官方旗舰店,【2022爆款】联想ThinkBook 14+ 12代酷睿标压新款 14英寸办公学习游戏苏宁易购官方旗舰店【865】
100+人付款,广东 广州,6799.00,machenike旗舰店,【性价推荐】机械师曙光15英特尔12代酷睿i9-12900H游戏本RTX3050Ti独显144Hz电竞屏手提便捷学生
200+人付款,北京,12499.00,alienware外星人旗舰店,【24期免息】ALIENWARE外星人m15 R7 15.6英寸高端12代英特尔酷睿游戏本设计师本2K屏电竞学生办公
1000+人付款,广东 广州,6299.00,惠普中国官方旗舰店,【2022游戏本爆款】HP/惠普光影精灵8可选12代英特尔酷睿i7RTX3060游戏本暗影精灵8学生官方旗舰店
95人付款,广东 深圳,2199.00,oppo品牌企业店,OPPO Reno8 新款5G opporeno8 oppo oppo 官方旗舰店
100+人付款,广东 深圳,9438.00,苏苏通讯,现货Huawei/华为 Mate Xs 2折叠屏鸿蒙系统MateXs2典藏版二代
1000+人付款,广东 深圳,979.00,壹品良机旗舰店,【官方正品/现货速发】小米/红米Note9 5Gnote9系列千元5G官方旗舰店正品note10xiaomi9学生老人机
700+人付款,广东 深圳,1279.00,佰分购旗舰店,【前5名赠小米背包】红米Note9 5Gxiaomi红米小米官方旗舰店红米note9pro全网通5g正品note9
500+人付款,广东 深圳,4999.00,荣耀官方旗舰店,HONOR/荣耀MagicBook 16 新款锐龙版 搭载R5/R7处理器 高性能 轻薄便携 办公游戏本 官方正品
14人付款,山东 济南,4299.00,格利莫里2008,Lenovo/联想 小新 Pro16 PRO14 2022款 AIR14PLUS
400+人付款,浙江 宁波,4599.00,asus华硕旗舰店,【新品】华硕a豆14 2022新款12代英特尔酷睿i5标压高性能办公学生轻薄商务便携手提超薄本官方旗舰
700+人付款,广东 广州,6599.00,machenike旗舰店,【12代新品】机械师曙光15英特尔12代酷睿i9-12900H游戏本RTX3060144Hz电竞屏2022年新款旗舰
19人付款,上海,5299.00,华为衡跃专卖店,【领劵至高减500】华为HUAWEI MateBook D14 2022款 新品12代英特尔酷睿版i5/i7 14英寸护眼全面屏
57人付款,广东 广州,5599.00,风过留痕119,华为 MateBook 14s 2022款12代酷睿标压14.2英寸90Hz
2000+人付款,浙江 杭州,39.00,天天特卖工厂店,xiaomi/小米适用无线笔记本静音办公专用原装有线键盘
1000+人付款,安徽 合肥,99.00,罗技烈焰专卖店,罗技MK275键盘鼠标无线电脑笔记本台式家用办公游戏MK270
1万+人付款,广东 广州,39.90,汪翰数码专营店,前行者机械手感键盘鼠标有线电竞游戏办公电脑笔记本台式外接外设耳机二件三件套蒸汽朋克键帽非静音
7000+人付款,广东 深圳,49.00,原动力数码专营店,【罗永浩推荐】无线键盘鼠标静音无声办公专用静音无声打字手感好家用笔记本台式电脑外接有线
